request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. The plan keeps at least IDR 24768300 available through the 90-day forecast.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. The plan keeps at least ZAR 20500 available through the 90-day forecast.
request_28,689.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1100 minimum protected.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. The plan keeps at least ZAR 28300 available through the 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 scheduled payments totaling USD 806.22. The plan keeps at least USD 900 available through the 90-day forecast.
request_31,13840360.0,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15, then pay IDR 18164000 in full. Paying earlier would put the IDR 16588900 minimum at risk."
request_32,33305.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35700 minimum protected.
request_33,65180.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 102100 minimum protected.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. The plan keeps at least INR 138500 available through the 90-day forecast.
request_35,125130.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the INR 106400 minimum protected.
request_36,1446.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the USD 2400 minimum protected.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17056200 minimum protected.
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the EUR 400 minimum protected.
request_39,203105.0,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Wait until 2026-04-15, then pay INR 208600 in full. Paying earlier would put the INR 213400 minimum at risk."
request_40,894.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1500 minimum protected.
request_41,24809250.0,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Wait until 2025-11-15, then pay IDR 38760000 in full. Paying earlier would put the IDR 25366600 minimum at risk."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. The plan keeps at least INR 113100 available through the 90-day forecast.
request_43,15242750.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the IDR 21398000 minimum protected.
request_44,74560.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the INR 82900 minimum protected.
request_45,8833100.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the IDR 11149800 minimum protected.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Use 2 scheduled payments totaling INR 51428. The plan keeps at least INR 84000 available through the 90-day forecast.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. The plan keeps at least IDR 30049000 available through the 90-day forecast.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. The plan keeps at least INR 71300 available through the 90-day forecast.
request_49,20228793.34,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20275700 minimum protected.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. The plan keeps at least INR 99700 available through the 90-day forecast.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. The plan keeps at least IDR 7811000 available through the 90-day forecast.
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Pay INR 28870 today. The plan keeps at least INR 41500 available through the 90-day forecast.
request_53,1423.42,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-20. None of the available options keeps the USD 2100 minimum protected.
request_54,16581.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37000 minimum protected.
request_55,176241.19,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-22. None of the available options keeps the INR 124300 minimum protected.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Use 2 scheduled payments totaling USD 916.84. The plan keeps at least USD 2100 available through the 90-day forecast.
request_57,21214.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 42700 minimum protected.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. The plan keeps at least IDR 14433900 available through the 90-day forecast.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 scheduled payments totaling INR 146223.99. The plan keeps at least INR 132600 available through the 90-day forecast.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. The plan keeps at least USD 400 available through the 90-day forecast.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 scheduled payments totaling ZAR 30224.49. The plan keeps at least ZAR 36700 available through the 90-day forecast.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. The plan keeps at least USD 1300 available through the 90-day forecast.
request_63,98295.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-17. None of the available options keeps the INR 153500 minimum protected.
request_64,60233.01,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16. None of the available options keeps the INR 36100 minimum protected.
request_65,13024.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15500 minimum protected.
